"","Z","PDF","CDF"
"193",-2.58,0.0143051089941497,0.00494001575777064
"194",-2.57,0.01467824911206,0.00508492574899103
"195",-2.56,0.0150596163273774,0.00523360816355579
"196",-2.55,0.0154493471343952,0.00538614595406669
"197",-2.54,0.0158475790253608,0.0055426234430826
"198",-2.53,0.0162544504606005,0.00570312633295069
"199",-2.52,0.0166701008373811,0.00586774171533256
"200",-2.51,0.017094670457497,0.00603655808041266
"201",-2.5,0.0175283004935685,0.00620966532577613
"202",-2.49,0.0179711329540397,0.00638715476494318
"203",-2.48,0.018423310646862,0.00656911913554676
"204",-2.47,0.0188849771418562,0.00675565260714066
"205",-2.46,0.019356276731737,0.00694685078862432
"206",-2.45,0.0198373543917953,0.00714281073527142
"207",-2.44,0.0203283557382258,0.00734363095534835
"208",-2.43,0.0208294269850922,0.00754941141630921
"209",-2.42,0.0213407148999228,0.00776025355055365
"210",-2.41,0.0218623667579294,0.00797626026073373
"211",-2.4,0.0223945302948429,0.00819753592459613
"212",-2.39,0.0229373536583607,0.00842418639934569
"213",-2.38,0.0234909853582014,0.00865631902551655
"214",-2.37,0.024055574214763,0.00889404263033678
"215",-2.36,0.0246312693063825,0.00913746753057268
"216",-2.35,0.0252182199151944,0.00938670553483857
"217",-2.34,0.0258165754715877,0.00964186994535833
"218",-2.33,0.0264264854972617,0.00990307555916425
"219",-2.32,0.0270480995468818,0.0101704386687197
"220",-2.31,0.0276815671483366,0.0104440770619511
"221",-2.3,0.0283270377416012,0.0107241100216758
"222",-2.29,0.0289846606162094,0.0110106583244114
"223",-2.28,0.0296545848473413,0.0113038442385528
"224",-2.27,0.0303369592305316,0.0116037915219035
"225",-2.26,0.0310319322150083,0.0119106254185471
"226",-2.25,0.0317396518356674,0.0122244726550447
"227",-2.24,0.0324602656436975,0.0125454614359466
"228",-2.23,0.0331939206358611,0.012873721438602
"229",-2.22,0.0339407631824492,0.0132093838072563
"230",-2.21,0.0347009389539188,0.01355258114642
"231",-2.2,0.0354745928462315,0.0139034475134986
"232",-2.19,0.0362618689049062,0.0142621184106689
"233",-2.18,0.0370629102478065,0.0146287307759893
"234",-2.17,0.0378778589866775,0.0150034229737322
"235",-2.16,0.0387068561474556,0.0153863347839254
"236",-2.15,0.0395500415893702,0.0157776073910905
"237",-2.14,0.0404075539228603,0.0161773833721661
"238",-2.13,0.0412795304263304,0.016585806683605
"239",-2.12,0.0421661069617703,0.0170030226476328
"240",-2.11,0.0430674178892657,0.0174291779376571
"241",-2.1,0.0439835959804272,0.0178644205628166
"242",-2.09,0.0449147723307671,0.018308899851659
"243",-2.08,0.0458610762710549,0.0187627664349377
"244",-2.07,0.0468226352776832,0.0192261722275173
"245",-2.06,0.047799574882077,0.0196992704093769
"246",-2.05,0.0487920185791828,0.0201822154057044
"247",-2.04,0.0498000877350708,0.0206751628660701
"248",-2.03,0.0508239014936912,0.0211782696426723
"249",-2.02,0.0518635766828206,0.0216916937676468
"250",-2.01,0.0529192277192403,0.0222155944294315
"251",-2,0.0539909665131881,0.0227501319481792
"252",-1.99,0.0550789023721258,0.0232954677502118
"253",-1.98,0.056183141903868,0.0238517643415085
"254",-1.97,0.0573037889191172,0.0244191852802226
"255",-1.96,0.0584409443334515,0.0249978951482204
"256",-1.95,0.0595947060688161,0.0255880595216386
"257",-1.94,0.0607651689545648,0.0261898449404527
"258",-1.93,0.0619524246281051,0.026803418877055
"259",-1.92,0.0631565614351987,0.0274289497038368
"260",-1.91,0.0643776643299693,0.0280666066597725
"261",-1.9,0.0656158147746766,0.0287165598160018
"262",-1.89,0.0668710906393071,0.0293789800404094
"263",-1.88,0.0681435661010446,0.0300540389611998
"264",-1.87,0.0694333115436742,0.030741908929466
"265",-1.86,0.0707403934569834,0.0314427629807527
"266",-1.85,0.072064874336218,0.0321567747956137
"267",-1.84,0.0734068125816569,0.0328841186591639
"268",-1.83,0.0747662623983676,0.0336249694196283
"269",-1.82,0.0761432736962074,0.03437950244589
"270",-1.81,0.077537891990134,0.0351478935840388
"271",-1.8,0.0789501583008942,0.0359303191129258
"272",-1.79,0.0803801090561542,0.0367269556987263
"273",-1.78,0.0818277759921428,0.0375379803485168
"274",-1.77,0.0832931860558745,0.0383635703628712
"275",-1.76,0.0847763613080223,0.0392039032874827
"276",-1.75,0.0862773188265115,0.0400591568638171
"277",-1.74,0.0877960706109057,0.0409295089788074
"278",-1.73,0.089332623487655,0.0418151376135949
"279",-1.72,0.0908869790162829,0.042716220791329
"280",-1.71,0.0924591333965807,0.0436329365240319
"281",-1.7,0.094049077376887,0.0445654627585431
"282",-1.69,0.095656796163524,0.0455139773215498
"283",-1.68,0.0972822693314675,0.04647865786372
"284",-1.67,0.0989254707363237,0.0474596818029473
"285",-1.66,0.100586368427691,0.0484572262667228
"286",-1.65,0.102264924563978,0.0494714680336481
"287",-1.64,0.103961095328764,0.0505025834741037
"288",-1.63,0.105674830848764,0.0515507484900894
"289",-1.62,0.107406075113484,0.052616138454252
"290",-1.61,0.109154765896647,0.0536989281481197
"291",-1.6,0.110920834679456,0.054799291699558
"292",-1.59,0.112704206575771,0.0559174025194695
"293",-1.58,0.114504800259292,0.0570534332377542
"294",-1.57,0.116322527892807,0.058207555638553
"295",-1.56,0.118157295059582,0.059379940594793
"296",-1.55,0.120009000696986,0.060570758002059
"297",-1.54,0.121877537032402,0.0617801767118119
"298",-1.53,0.123762789521523,0.0630083644639784
